complex                                                                              cdim    f-vector              faces    facets    pure    matroid    graph    pdim    codim    degree    m-vector         aED    pED    ML
[13,15,24,26,34]                                                                     1       (1,6,5)               12       5         Y       N          N        58      5        13        (9)              N/A    N/A    N/A
[12,13,15,24,26,34]                                                                  1       (1,6,6)               13       6         Y       N          N        57      6        14        (15)             N/A    N/A    N/A
[12,14,15,24,26,34]                                                                  1       (1,6,6)               13       6         Y       N          N        57      6        15        (14)             N/A    N/A    N/A
[13,14,15,24,26,34]                                                                  1       (1,6,6)               13       6         Y       N          N        57      6        17        (13)             N/A    N/A    N/A
[12,13,14,15,24,26,34]                                                               1       (1,6,7)               14       7         Y       N          N        56      7        19        (19)             N/A    N/A    N/A
[13,16,24,26,34,5]                                                                   1       (1,6,5)               12       6         N       N          N        58      5        12        (10)             N/A    N/A    N/A
[12,13,16,24,26,34,5]                                                                1       (1,6,6)               13       7         N       N          N        57      6        14        (15)             N/A    N/A    N/A
[12,13,14,16,24,26,34,5]                                                             1       (1,6,7)               14       8         N       N          N        56      7        17        (20)             N/A    N/A    N/A
[13,15,16,24,26,34]                                                                  1       (1,6,6)               13       6         Y       N          N        57      6        17        (13)             N/A    N/A    N/A
[13,14,15,16,24,26,34]                                                               1       (1,6,7)               14       7         Y       N          N        56      7        19        (19)             N/A    N/A    N/A
[12,13,14,15,16,24,26,34]                                                            1       (1,6,8)               15       8         Y       N          N        55      8        22        (25)             N/A    N/A    N/A
[15,16,23,24,26,34]                                                                  1       (1,6,6)               13       6         Y       N          N        57      6        19        (12)             N/A    N/A    N/A
[12,15,16,23,24,26,34]                                                               1       (1,6,7)               14       7         Y       N          N        56      7        22        (17,1)           N/A    N/A    N/A
[13,15,16,23,24,26,34]                                                               1       (1,6,7)               14       7         Y       N          N        56      7        21        (18)             N/A    N/A    N/A
[12,13,15,16,23,24,26,34]                                                            1       (1,6,8)               15       8         Y       N          N        55      8        24        (24)             N/A    N/A    N/A
[13,14,15,23,24,26,34]                                                               1       (1,6,7)               14       7         Y       N          N        56      7        21        (18)             N/A    N/A    N/A
[12,13,14,15,23,24,26,34]                                                            1       (1,6,8)               15       8         Y       N          N        55      8        24        (24)             N/A    N/A    N/A
[13,14,16,23,24,26,34,5]                                                             1       (1,6,7)               14       8         N       N          N        56      7        16        (21)             N/A    N/A    N/A
[12,13,14,16,23,24,26,34,5]                                                          1       (1,6,8)               15       9         N       N          N        55      8        20        (26)             N/A    N/A    N/A
[13,14,15,16,23,24,26,34]                                                            1       (1,6,8)               15       8         Y       N          N        55      8        23        (25)             N/A    N/A    N/A
[12,13,14,15,16,23,24,26,34]                                                         1       (1,6,9)               16       9         Y       N          N        54      9        27        (31)             N/A    N/A    N/A
[15,16,25,26,34]                                                                     1       (1,6,5)               12       5         Y       N          N        58      5        12        (10)             N/A    N/A    N/A
[12,15,16,25,26,34]                                                                  1       (1,6,6)               13       6         Y       N          N        57      6        18        (13)             N/A    N/A    N/A
[13,15,16,25,26,34]                                                                  1       (1,6,6)               13       6         Y       N          N        57      6        15        (14)             N/A    N/A    N/A
[12,13,15,16,25,26,34]                                                               1       (1,6,7)               14       7         Y       N          N        56      7        21        (18)             N/A    N/A    N/A
[13,15,16,23,25,26,34]                                                               1       (1,6,7)               14       7         Y       N          N        56      7        16        (21)             N/A    N/A    N/A
[12,13,15,16,23,25,26,34]                                                            1       (1,6,8)               15       8         Y       N          N        55      8        23        (25)             N/A    N/A    N/A
[14,15,16,23,25,26,34]                                                               1       (1,6,7)               14       7         Y       N          N        56      7        21        (18)             N/A    N/A    N/A
[12,14,15,16,23,25,26,34]                                                            1       (1,6,8)               15       8         Y       N          N        55      8        24        (24)             N/A    N/A    N/A
[13,14,15,16,25,26,34]                                                               1       (1,6,7)               14       7         Y       N          N        56      7        21        (18)             N/A    N/A    N/A
[13,14,15,16,23,25,26,34]                                                            1       (1,6,8)               15       8         Y       N          N        55      8        23        (25)             N/A    N/A    N/A
[12,13,14,15,16,25,26,34]                                                            1       (1,6,8)               15       8         Y       N          N        55      8        25        (23,2)           N/A    N/A    N/A
[12,13,14,15,16,23,25,26,34]                                                         1       (1,6,9)               16       9         Y       N          N        54      9        27        (31)             N/A    N/A    N/A
[13,14,15,16,23,24,25,26,34]                                                         1       (1,6,9)               16       9         Y       N          N        54      9        25        (33)             N/A    N/A    N/A
[12,13,14,15,16,23,24,25,26,34]                                                      1       (1,6,10)              17       10        Y       N          N        53      10       30        (39)             N/A    N/A    N/A
[12,13,14,15,24,25,34,35,6]                                                          1       (1,6,8)               15       9         N       N          N        55      8        19        (27)             N/A    N/A    N/A
[12,14,16,24,25,34,35]                                                               1       (1,6,7)               14       7         Y       N          N        56      7        20        (18)             N/A    N/A    N/A
[12,13,14,16,24,25,34,35]                                                            1       (1,6,8)               15       8         Y       N          N        55      8        22        (25)             N/A    N/A    N/A
[12,13,14,15,16,24,25,34,35]                                                         1       (1,6,9)               16       9         Y       N          N        54      9        25        (32)             N/A    N/A    N/A
[15,16,23,24,25,34,35]                                                               1       (1,6,7)               14       7         Y       N          N        56      7        23        (17)             N/A    N/A    N/A
[13,15,16,23,24,25,34,35]                                                            1       (1,6,8)               15       8         Y       N          N        55      8        26        (23)             N/A    N/A    N/A
[12,13,15,16,23,24,25,34,35]                                                         1       (1,6,9)               16       9         Y       N          N        54      9        29        (30)             N/A    N/A    N/A
[12,13,14,15,23,24,25,34,35,6]                                                       1       (1,6,9)               16       10        N       N          N        54      9        23        (33)             N/A    N/A    N/A
[14,15,16,23,24,25,34,35]                                                            1       (1,6,8)               15       8         Y       N          N        55      8        25        (24)             N/A    N/A    N/A
[13,14,15,16,23,24,25,34,35]                                                         1       (1,6,9)               16       9         Y       N          N        54      9        28        (31)             N/A    N/A    N/A
[12,13,14,15,16,23,24,25,34,35]                                                      1       (1,6,10)              17       10        Y       N          N        53      10       32        (38)             N/A    N/A    N/A
[15,16,24,26,34,35]                                                                  1       (1,6,6)               13       6         Y       N          N        57      6        17        (12,1)           N/A    N/A    N/A
[13,15,16,24,26,34,35]                                                               1       (1,6,7)               14       7         Y       N          N        56      7        24        (16,1)           N/A    N/A    N/A
[14,15,16,24,26,34,35]                                                               1       (1,6,7)               14       7         Y       N          N        56      7        18        (19)             N/A    N/A    N/A
[13,14,15,16,24,26,34,35]                                                            1       (1,6,8)               15       8         Y       N          N        55      8        26        (23)             N/A    N/A    N/A
[12,13,15,16,24,26,34,35]                                                            1       (1,6,8)               15       8         Y       N          N        55      8        27        (22,2)           N/A    N/A    N/A
[12,13,14,15,16,24,26,34,35]                                                         1       (1,6,9)               16       9         Y       N          N        54      9        30        (29,1)           N/A    N/A    N/A
[12,13,15,16,23,24,26,34,35]                                                         1       (1,6,9)               16       9         Y       N          N        54      9        30        (29,1)           N/A    N/A    N/A
[14,15,16,23,24,26,34,35]                                                            1       (1,6,8)               15       8         Y       N          N        55      8        26        (23)             N/A    N/A    N/A
[13,14,15,16,23,24,26,34,35]                                                         1       (1,6,9)               16       9         Y       N          N        54      9        29        (30)             N/A    N/A    N/A
[12,13,14,15,16,23,24,26,34,35]                                                      1       (1,6,10)              17       10        Y       N          N        53      10       33        (37)             N/A    N/A    N/A
[14,15,16,24,25,26,34,35]                                                            1       (1,6,8)               15       8         Y       N          N        55      8        19        (27)             N/A    N/A    N/A
[13,14,15,16,24,25,26,34,35]                                                         1       (1,6,9)               16       9         Y       N          N        54      9        28        (31)             N/A    N/A    N/A
[12,14,15,16,24,25,26,34,35]                                                         1       (1,6,9)               16       9         Y       N          N        54      9        28        (31)             N/A    N/A    N/A
[12,13,14,15,16,24,25,26,34,35]                                                      1       (1,6,10)              17       10        Y       N          N        53      10       32        (38)             N/A    N/A    N/A
