complex                                                                              cdim    f-vector              faces    facets    pure    matroid    graph    pdim    codim    degree    m-vector         aED    pED    ML
[123,124,125,134,234,26,36,56]                                                       2       (1,6,11,5)            23       8         N       N          N        47      16       82        (95)             N/A    N/A    N/A
[124,125,134,234,35,36,56]                                                           2       (1,6,11,4)            22       7         N       N          N        48      15       79        (81)             N/A    N/A    N/A
[124,125,134,234,26,35,36,56]                                                        2       (1,6,12,4)            23       8         N       N          N        47      16       91        (92)             N/A    N/A    N/A
[123,124,134,15,234,25,35,56]                                                        2       (1,6,10,4)            21       8         N       N          N        49      14       68        (71)             N/A    N/A    N/A
[123,124,134,15,234,25,26,35,56]                                                     2       (1,6,11,4)            22       9         N       N          N        48      15       79        (81)             N/A    N/A    N/A
[123,124,125,134,234,35,56]                                                          2       (1,6,10,5)            22       7         N       N          N        48      15       73        (83)             N/A    N/A    N/A
[123,124,125,134,234,26,35,56]                                                       2       (1,6,11,5)            23       8         N       N          N        47      16       86        (93,1)           N/A    N/A    N/A
[123,124,125,134,234,35,36,56]                                                       2       (1,6,11,5)            23       8         N       N          N        47      16       84        (94)             N/A    N/A    N/A
[123,124,134,15,234,25,26,35,36,56]                                                  2       (1,6,12,4)            23       10        N       N          N        47      16       91        (92)             N/A    N/A    N/A
[123,124,125,134,234,26,35,36,56]                                                    2       (1,6,12,5)            24       9         N       N          N        46      17       98        (105)            N/A    N/A    N/A
[123,124,134,15,234,26,35,45,56]                                                     2       (1,6,11,4)            22       9         N       N          N        48      15       74        (82)             N/A    N/A    N/A
[123,124,134,15,234,25,35,45,56]                                                     2       (1,6,11,4)            22       9         N       N          N        48      15       80        (80)             N/A    N/A    N/A
[123,124,134,15,234,25,26,35,45,56]                                                  2       (1,6,12,4)            23       10        N       N          N        47      16       91        (91)             N/A    N/A    N/A
[123,124,134,15,234,26,36,45,56]                                                     2       (1,6,11,4)            22       9         N       N          N        48      15       72        (83)             N/A    N/A    N/A
[123,124,134,15,234,26,35,36,45,56]                                                  2       (1,6,12,4)            23       10        N       N          N        47      16       86        (93)             N/A    N/A    N/A
[123,124,134,15,234,25,26,35,36,45,56]                                               2       (1,6,13,4)            24       11        N       N          N        46      17       103       (103)            N/A    N/A    N/A
[124,125,134,234,36,45,56]                                                           2       (1,6,11,4)            22       7         N       N          N        48      15       76        (81)             N/A    N/A    N/A
[124,125,134,234,35,36,45,56]                                                        2       (1,6,12,4)            23       8         N       N          N        47      16       95        (90)             N/A    N/A    N/A
[123,124,125,134,234,36,45,56]                                                       2       (1,6,11,5)            23       8         N       N          N        47      16       79        (95)             N/A    N/A    N/A
[123,124,125,134,234,35,45,56]                                                       2       (1,6,11,5)            23       8         N       N          N        47      16       89        (92)             N/A    N/A    N/A
[123,124,125,134,234,35,36,45,56]                                                    2       (1,6,12,5)            24       9         N       N          N        46      17       100       (104)            N/A    N/A    N/A
[123,124,125,134,234,26,35,45,56]                                                    2       (1,6,12,5)            24       9         N       N          N        46      17       102       (103,1)          N/A    N/A    N/A
[124,125,134,234,26,36,45,56]                                                        2       (1,6,12,4)            23       8         N       N          N        47      16       88        (92)             N/A    N/A    N/A
[123,124,125,134,234,26,36,45,56]                                                    2       (1,6,12,5)            24       9         N       N          N        46      17       93        (106)            N/A    N/A    N/A
[124,125,134,234,26,35,36,45,56]                                                     2       (1,6,13,4)            24       9         N       N          N        46      17       107       (102)            N/A    N/A    N/A
[123,124,125,134,234,26,35,36,45,56]                                                 2       (1,6,13,5)            25       10        N       N          N        45      18       114       (116)            N/A    N/A    N/A
[125,134,145,234,36,56]                                                              2       (1,6,11,4)            22       6         N       N          N        48      15       71        (83)             N/A    N/A    N/A
[125,134,145,234,26,36,56]                                                           2       (1,6,12,4)            23       7         N       N          N        47      16       87        (92)             N/A    N/A    N/A
[124,125,134,145,234,36,56]                                                          2       (1,6,11,5)            23       7         N       N          N        47      16       79        (95)             N/A    N/A    N/A
[124,125,134,145,234,26,36,56]                                                       2       (1,6,12,5)            24       8         N       N          N        46      17       91        (107)            N/A    N/A    N/A
[125,134,145,234,35,36,56]                                                           2       (1,6,12,4)            23       7         N       N          N        47      16       92        (91)             N/A    N/A    N/A
[124,125,134,145,234,35,36,56]                                                       2       (1,6,12,5)            24       8         N       N          N        46      17       100       (104)            N/A    N/A    N/A
[125,134,145,234,26,35,36,56]                                                        2       (1,6,13,4)            24       8         N       N          N        46      17       108       (101)            N/A    N/A    N/A
[124,125,134,145,234,26,35,36,56]                                                    2       (1,6,13,5)            25       9         N       N          N        45      18       112       (117)            N/A    N/A    N/A
[123,145,234,26,36,56]                                                               2       (1,6,11,3)            21       6         N       N          N        49      14       69        (70)             N/A    N/A    N/A
[123,124,145,234,26,36,56]                                                           2       (1,6,11,4)            22       7         N       N          N        48      15       72        (83)             N/A    N/A    N/A
[123,145,234,26,35,36,56]                                                            2       (1,6,12,3)            22       7         N       N          N        48      15       83        (79)             N/A    N/A    N/A
[123,124,145,234,26,35,36,56]                                                        2       (1,6,12,4)            23       8         N       N          N        47      16       86        (93)             N/A    N/A    N/A
[123,145,234,25,26,35,36,56]                                                         2       (1,6,13,3)            23       8         N       N          N        47      16       102       (88)             N/A    N/A    N/A
[123,124,145,234,25,26,36,56]                                                        2       (1,6,12,4)            23       8         N       N          N        47      16       88        (92)             N/A    N/A    N/A
[123,124,145,234,25,26,35,36,56]                                                     2       (1,6,13,4)            24       9         N       N          N        46      17       107       (102)            N/A    N/A    N/A
[123,125,145,234,26,36,56]                                                           2       (1,6,12,4)            23       7         N       N          N        47      16       88        (92)             N/A    N/A    N/A
[123,124,125,145,234,26,36,56]                                                       2       (1,6,12,5)            24       8         N       N          N        46      17       93        (106)            N/A    N/A    N/A
[123,125,145,234,26,35,36,56]                                                        2       (1,6,13,4)            24       8         N       N          N        46      17       109       (101)            N/A    N/A    N/A
[123,124,125,145,234,26,35,36,56]                                                    2       (1,6,13,5)            25       9         N       N          N        45      18       114       (116)            N/A    N/A    N/A
[123,125,134,145,234,56]                                                             2       (1,6,10,5)            22       6         N       N          N        48      15       68        (85)             N/A    N/A    N/A
[123,124,125,134,145,234,56]                                                         2       (1,6,10,6)            23       7         N       N          N        47      16       76        (97)             N/A    N/A    N/A
[123,125,134,145,234,26,56]                                                          2       (1,6,11,5)            23       7         N       N          N        47      16       84        (94)             N/A    N/A    N/A
[123,124,125,134,145,234,26,56]                                                      2       (1,6,11,6)            24       8         N       N          N        46      17       89        (108)            N/A    N/A    N/A
[123,125,134,145,234,35,56]                                                          2       (1,6,11,5)            23       7         N       N          N        47      16       86        (93)             N/A    N/A    N/A
[123,125,134,145,234,26,35,56]                                                       2       (1,6,12,5)            24       8         N       N          N        46      17       102       (103)            N/A    N/A    N/A
[123,124,125,134,145,234,35,56]                                                      2       (1,6,11,6)            24       8         N       N          N        46      17       94        (106)            N/A    N/A    N/A
[123,124,125,134,145,234,26,35,56]                                                   2       (1,6,12,6)            25       9         N       N          N        45      18       107       (118)            N/A    N/A    N/A
[123,125,134,145,234,36,56]                                                          2       (1,6,11,5)            23       7         N       N          N        47      16       73        (98)             N/A    N/A    N/A
[123,124,125,134,145,234,36,56]                                                      2       (1,6,11,6)            24       8         N       N          N        46      17       82        (110)            N/A    N/A    N/A
[123,125,134,145,234,35,36,56]                                                       2       (1,6,12,5)            24       8         N       N          N        46      17       96        (106)            N/A    N/A    N/A
[123,124,125,134,145,234,35,36,56]                                                   2       (1,6,12,6)            25       9         N       N          N        45      18       105       (119)            N/A    N/A    N/A
[123,125,134,145,234,26,36,56]                                                       2       (1,6,12,5)            24       8         N       N          N        46      17       91        (107)            N/A    N/A    N/A
[123,125,134,145,234,26,35,36,56]                                                    2       (1,6,13,5)            25       9         N       N          N        45      18       114       (116)            N/A    N/A    N/A
[123,124,134,145,234,26,36,56]                                                       2       (1,6,11,5)            23       8         N       N          N        47      16       75        (97)             N/A    N/A    N/A
[123,124,134,145,234,25,26,36,56]                                                    2       (1,6,12,5)            24       9         N       N          N        46      17       91        (107)            N/A    N/A    N/A
[123,124,125,134,145,234,26,36,56]                                                   2       (1,6,12,6)            25       9         N       N          N        45      18       96        (122)            N/A    N/A    N/A
[123,124,134,145,234,25,26,35,36,56]                                                 2       (1,6,13,5)            25       10        N       N          N        45      18       112       (117)            N/A    N/A    N/A
[123,124,125,134,145,234,26,35,36,56]                                                2       (1,6,13,6)            26       10        N       N          N        44      19       119       (132)            N/A    N/A    N/A
[123,124,134,15,16,234,25,26,35,36,56]                                               2       (1,6,13,4)            24       11        N       N          N        46      17       105       (103)            N/A    N/A    N/A
[123,124,134,15,16,234,26,35,36,45,56]                                               2       (1,6,13,4)            24       11        N       N          N        46      17       100       (104)            N/A    N/A    N/A
[123,124,134,15,16,234,25,26,35,36,45,56]                                            2       (1,6,14,4)            25       12        N       N          N        45      18       117       (115)            N/A    N/A    N/A
[123,145,16,234,26,36,56]                                                            2       (1,6,12,3)            22       7         N       N          N        48      15       82        (79,1)           N/A    N/A    N/A
[123,145,16,234,26,35,36,56]                                                         2       (1,6,13,3)            23       8         N       N          N        47      16       96        (89,1)           N/A    N/A    N/A
[123,124,145,16,234,26,36,56]                                                        2       (1,6,12,4)            23       8         N       N          N        47      16       86        (93)             N/A    N/A    N/A
[123,124,145,16,234,26,35,36,56]                                                     2       (1,6,13,4)            24       9         N       N          N        46      17       100       (104)            N/A    N/A    N/A
[123,124,134,145,16,234,26,36,56]                                                    2       (1,6,12,5)            24       9         N       N          N        46      17       91        (107)            N/A    N/A    N/A
[123,134,145,16,234,26,35,36,56]                                                     2       (1,6,13,4)            24       9         N       N          N        46      17       102       (103)            N/A    N/A    N/A
[123,124,134,145,16,234,26,35,36,56]                                                 2       (1,6,13,5)            25       10        N       N          N        45      18       107       (118)            N/A    N/A    N/A
[123,145,16,234,25,26,35,36,56]                                                      2       (1,6,14,3)            24       9         N       N          N        46      17       115       (99,1)           N/A    N/A    N/A
[123,134,145,16,234,25,26,35,36,56]                                                  2       (1,6,14,4)            25       10        N       N          N        45      18       121       (114)            N/A    N/A    N/A
[123,124,134,145,16,234,25,26,35,36,56]                                              2       (1,6,14,5)            26       11        N       N          N        44      19       128       (129)            N/A    N/A    N/A
[126,145,234,35,36,56]                                                               2       (1,6,12,3)            22       6         N       N          N        48      15       78        (79)             N/A    N/A    N/A
[126,13,145,234,35,36,56]                                                            2       (1,6,13,3)            23       7         N       N          N        47      16       98        (88)             N/A    N/A    N/A
[124,126,145,234,35,36,56]                                                           2       (1,6,12,4)            23       7         N       N          N        47      16       79        (95)             N/A    N/A    N/A
[124,126,13,145,234,35,36,56]                                                        2       (1,6,13,4)            24       8         N       N          N        46      17       100       (104)            N/A    N/A    N/A
[123,126,145,234,36,56]                                                              2       (1,6,12,4)            23       6         N       N          N        47      16       91        (90)             N/A    N/A    N/A
[123,124,126,145,234,36,56]                                                          2       (1,6,12,5)            24       7         N       N          N        46      17       93        (106)            N/A    N/A    N/A
[123,126,145,234,35,36,56]                                                           2       (1,6,13,4)            24       7         N       N          N        46      17       105       (101)            N/A    N/A    N/A
[123,124,126,145,234,35,36,56]                                                       2       (1,6,13,5)            25       8         N       N          N        45      18       107       (118)            N/A    N/A    N/A
[126,13,145,234,25,36,56]                                                            2       (1,6,13,3)            23       7         N       N          N        47      16       99        (88)             N/A    N/A    N/A
[123,126,145,234,25,36,56]                                                           2       (1,6,13,4)            24       7         N       N          N        46      17       110       (100)            N/A    N/A    N/A
[126,13,145,234,25,35,36,56]                                                         2       (1,6,14,3)            24       8         N       N          N        46      17       118       (98)             N/A    N/A    N/A
[123,126,145,234,25,35,36,56]                                                        2       (1,6,14,4)            25       8         N       N          N        45      18       129       (111)            N/A    N/A    N/A
[124,126,13,145,234,25,36,56]                                                        2       (1,6,13,4)            24       8         N       N          N        46      17       102       (103)            N/A    N/A    N/A
[124,126,13,145,234,25,35,36,56]                                                     2       (1,6,14,4)            25       9         N       N          N        45      18       121       (114)            N/A    N/A    N/A
[123,124,126,145,234,25,36,56]                                                       2       (1,6,13,5)            25       8         N       N          N        45      18       114       (116)            N/A    N/A    N/A
[123,124,126,145,234,25,35,36,56]                                                    2       (1,6,14,5)            26       9         N       N          N        44      19       133       (128)            N/A    N/A    N/A
[124,126,134,15,234,25,35,56]                                                        2       (1,6,12,4)            23       8         N       N          N        47      16       91        (92)             N/A    N/A    N/A
[123,124,126,134,15,234,25,56]                                                       2       (1,6,11,5)            23       8         N       N          N        47      16       90        (93,1)           N/A    N/A    N/A
[123,124,126,134,15,234,25,35,56]                                                    2       (1,6,12,5)            24       9         N       N          N        46      17       99        (105)            N/A    N/A    N/A
[126,134,15,234,25,35,45,56]                                                         2       (1,6,13,3)            23       8         N       N          N        47      16       97        (89,1)           N/A    N/A    N/A
[123,126,134,15,234,25,35,45,56]                                                     2       (1,6,13,4)            24       9         N       N          N        46      17       103       (103)            N/A    N/A    N/A
[123,124,126,134,15,234,25,35,45,56]                                                 2       (1,6,13,5)            25       10        N       N          N        45      18       111       (117)            N/A    N/A    N/A
[123,126,134,145,234,56]                                                             2       (1,6,11,5)            23       6         N       N          N        47      16       86        (93)             N/A    N/A    N/A
[123,126,134,145,234,35,56]                                                          2       (1,6,12,5)            24       7         N       N          N        46      17       97        (104)            N/A    N/A    N/A
[123,124,126,134,145,234,56]                                                         2       (1,6,11,6)            24       7         N       N          N        46      17       89        (108)            N/A    N/A    N/A
[123,124,126,134,145,234,35,56]                                                      2       (1,6,12,6)            25       8         N       N          N        45      18       100       (120)            N/A    N/A    N/A
[126,134,145,234,25,35,56]                                                           2       (1,6,13,4)            24       7         N       N          N        46      17       111       (100)            N/A    N/A    N/A
[124,126,134,145,234,25,35,56]                                                       2       (1,6,13,5)            25       8         N       N          N        45      18       114       (116)            N/A    N/A    N/A
[123,126,134,145,234,25,56]                                                          2       (1,6,12,5)            24       7         N       N          N        46      17       105       (103)            N/A    N/A    N/A
[123,124,126,134,145,234,25,56]                                                      2       (1,6,12,6)            25       8         N       N          N        45      18       110       (118)            N/A    N/A    N/A
[123,126,134,145,234,25,35,56]                                                       2       (1,6,13,5)            25       8         N       N          N        45      18       121       (114)            N/A    N/A    N/A
[123,124,126,134,145,234,25,35,56]                                                   2       (1,6,13,6)            26       9         N       N          N        44      19       126       (130)            N/A    N/A    N/A
[126,134,15,234,25,36,45,56]                                                         2       (1,6,13,3)            23       8         N       N          N        47      16       94        (90)             N/A    N/A    N/A
[126,134,15,234,25,35,36,45,56]                                                      2       (1,6,14,3)            24       9         N       N          N        46      17       111       (100,1)          N/A    N/A    N/A
[123,126,134,15,234,25,36,45,56]                                                     2       (1,6,13,4)            24       9         N       N          N        46      17       102       (103)            N/A    N/A    N/A
[123,126,134,15,234,25,35,36,45,56]                                                  2       (1,6,14,4)            25       10        N       N          N        45      18       119       (114)            N/A    N/A    N/A
[123,126,134,145,234,35,36,56]                                                       2       (1,6,13,5)            25       8         N       N          N        45      18       113       (115)            N/A    N/A    N/A
[126,134,145,234,25,36,56]                                                           2       (1,6,13,4)            24       7         N       N          N        46      17       104       (102)            N/A    N/A    N/A
[123,126,134,145,234,25,36,56]                                                       2       (1,6,13,5)            25       8         N       N          N        45      18       116       (115)            N/A    N/A    N/A
[126,134,145,234,25,35,36,56]                                                        2       (1,6,14,4)            25       8         N       N          N        45      18       125       (112)            N/A    N/A    N/A
[123,126,134,145,234,25,35,36,56]                                                    2       (1,6,14,5)            26       9         N       N          N        44      19       137       (126)            N/A    N/A    N/A
[124,126,134,15,234,25,36,56]                                                        2       (1,6,12,4)            23       8         N       N          N        47      16       91        (92)             N/A    N/A    N/A
[124,126,134,15,234,25,35,36,56]                                                     2       (1,6,13,4)            24       9         N       N          N        46      17       105       (103)            N/A    N/A    N/A
[124,126,134,15,234,25,36,45,56]                                                     2       (1,6,13,4)            24       9         N       N          N        46      17       100       (104)            N/A    N/A    N/A
[124,126,134,15,234,25,35,36,45,56]                                                  2       (1,6,14,4)            25       10        N       N          N        45      18       117       (115)            N/A    N/A    N/A
[124,126,134,145,234,25,36,56]                                                       2       (1,6,13,5)            25       8         N       N          N        45      18       107       (118)            N/A    N/A    N/A
[124,126,134,145,234,25,35,36,56]                                                    2       (1,6,14,5)            26       9         N       N          N        44      19       128       (129)            N/A    N/A    N/A
[123,124,126,134,15,234,25,36,56]                                                    2       (1,6,12,5)            24       9         N       N          N        46      17       101       (104,1)          N/A    N/A    N/A
[123,124,126,134,15,234,25,36,45,56]                                                 2       (1,6,13,5)            25       10        N       N          N        45      18       110       (117)            N/A    N/A    N/A
[123,124,126,134,145,234,25,36,56]                                                   2       (1,6,13,6)            26       9         N       N          N        44      19       121       (131)            N/A    N/A    N/A
[123,124,126,134,145,234,35,36,56]                                                   2       (1,6,13,6)            26       9         N       N          N        44      19       116       (132)            N/A    N/A    N/A
[123,124,126,134,15,234,25,35,36,56]                                                 2       (1,6,13,5)            25       10        N       N          N        45      18       115       (116)            N/A    N/A    N/A
[123,124,126,134,15,234,25,35,36,45,56]                                              2       (1,6,14,5)            26       11        N       N          N        44      19       127       (129)            N/A    N/A    N/A
[123,124,126,134,145,234,25,35,36,56]                                                2       (1,6,14,6)            27       10        N       N          N        43      20       142       (143)            N/A    N/A    N/A
[126,134,136,234,25,35,45,56]                                                        2       (1,6,13,4)            24       8         N       N          N        46      17       101       (103)            N/A    N/A    N/A
[123,126,134,136,234,25,35,45,56]                                                    2       (1,6,13,5)            25       9         N       N          N        45      18       107       (118)            N/A    N/A    N/A
[124,126,134,136,234,25,35,56]                                                       2       (1,6,12,5)            24       8         N       N          N        46      17       96        (106)            N/A    N/A    N/A
[124,126,134,136,234,25,35,45,56]                                                    2       (1,6,13,5)            25       9         N       N          N        45      18       105       (119)            N/A    N/A    N/A
[123,124,126,134,136,234,25,35,56]                                                   2       (1,6,12,6)            25       9         N       N          N        45      18       103       (120)            N/A    N/A    N/A
[123,124,126,134,136,234,25,35,45,56]                                                2       (1,6,13,6)            26       10        N       N          N        44      19       112       (134)            N/A    N/A    N/A
[126,134,136,15,234,35,45,56]                                                        2       (1,6,13,4)            24       8         N       N          N        46      17       103       (102,2)          N/A    N/A    N/A
[123,126,134,136,15,234,35,45,56]                                                    2       (1,6,13,5)            25       9         N       N          N        45      18       110       (117)            N/A    N/A    N/A
[124,126,134,136,15,234,56]                                                          2       (1,6,11,5)            23       7         N       N          N        47      16       85        (94)             N/A    N/A    N/A
[124,126,134,136,15,234,35,56]                                                       2       (1,6,12,5)            24       8         N       N          N        46      17       98        (105)            N/A    N/A    N/A
[124,126,134,136,15,234,45,56]                                                       2       (1,6,12,5)            24       8         N       N          N        46      17       92        (107)            N/A    N/A    N/A
[124,126,134,136,15,234,35,45,56]                                                    2       (1,6,13,5)            25       9         N       N          N        45      18       107       (118)            N/A    N/A    N/A
[123,124,126,134,136,15,234,56]                                                      2       (1,6,11,6)            24       8         N       N          N        46      17       91        (107,2)          N/A    N/A    N/A
[123,124,126,134,136,15,234,45,56]                                                   2       (1,6,12,6)            25       9         N       N          N        45      18       98        (121)            N/A    N/A    N/A
[123,124,126,134,136,15,234,35,56]                                                   2       (1,6,12,6)            25       9         N       N          N        45      18       106       (119)            N/A    N/A    N/A
[123,124,126,134,136,15,234,35,45,56]                                                2       (1,6,13,6)            26       10        N       N          N        44      19       115       (133)            N/A    N/A    N/A
[124,126,134,136,15,234,25,35,56]                                                    2       (1,6,13,5)            25       9         N       N          N        45      18       112       (117)            N/A    N/A    N/A
[123,124,126,134,136,15,234,25,35,56]                                                2       (1,6,13,6)            26       10        N       N          N        44      19       123       (131)            N/A    N/A    N/A
[126,134,136,15,234,25,35,45,56]                                                     2       (1,6,14,4)            25       9         N       N          N        45      18       118       (114)            N/A    N/A    N/A
[124,126,134,136,15,234,25,35,45,56]                                                 2       (1,6,14,5)            26       10        N       N          N        44      19       124       (130)            N/A    N/A    N/A
[123,124,126,136,15,234,25,35,45,56]                                                 2       (1,6,14,5)            26       10        N       N          N        44      19       127       (129)            N/A    N/A    N/A
[123,124,126,134,136,15,234,25,35,45,56]                                             2       (1,6,14,6)            27       11        N       N          N        43      20       135       (145)            N/A    N/A    N/A
[126,136,145,234,56]                                                                 2       (1,6,12,4)            23       5         N       N          N        47      16       94        (89)             N/A    N/A    N/A
[126,134,136,145,234,56]                                                             2       (1,6,12,5)            24       6         N       N          N        46      17       97        (104)            N/A    N/A    N/A
[126,136,145,234,35,56]                                                              2       (1,6,13,4)            24       6         N       N          N        46      17       111       (99)             N/A    N/A    N/A
[126,134,136,145,234,35,56]                                                          2       (1,6,13,5)            25       7         N       N          N        45      18       115       (114,1)          N/A    N/A    N/A
[123,126,136,145,234,56]                                                             2       (1,6,12,5)            24       6         N       N          N        46      17       102       (102)            N/A    N/A    N/A
[123,126,136,145,234,35,56]                                                          2       (1,6,13,5)            25       7         N       N          N        45      18       121       (113)            N/A    N/A    N/A
[123,126,134,136,145,234,56]                                                         2       (1,6,12,6)            25       7         N       N          N        45      18       105       (118)            N/A    N/A    N/A
[123,126,134,136,145,234,35,56]                                                      2       (1,6,13,6)            26       8         N       N          N        44      19       126       (129)            N/A    N/A    N/A
[126,134,136,145,234,25,56]                                                          2       (1,6,13,5)            25       7         N       N          N        45      18       114       (115)            N/A    N/A    N/A
[123,126,134,136,145,234,25,56]                                                      2       (1,6,13,6)            26       8         N       N          N        44      19       124       (130)            N/A    N/A    N/A
[126,136,145,234,25,35,56]                                                           2       (1,6,14,4)            25       7         N       N          N        45      18       131       (110)            N/A    N/A    N/A
[123,126,136,145,234,25,35,56]                                                       2       (1,6,14,5)            26       8         N       N          N        44      19       145       (124)            N/A    N/A    N/A
[126,134,136,145,234,25,35,56]                                                       2       (1,6,14,5)            26       8         N       N          N        44      19       135       (126)            N/A    N/A    N/A
[123,126,134,136,145,234,25,35,56]                                                   2       (1,6,14,6)            27       9         N       N          N        43      20       150       (141)            N/A    N/A    N/A
[124,126,134,136,145,234,56]                                                         2       (1,6,12,6)            25       7         N       N          N        45      18       99        (121)            N/A    N/A    N/A
[124,126,134,136,145,234,35,56]                                                      2       (1,6,13,6)            26       8         N       N          N        44      19       117       (132)            N/A    N/A    N/A
[124,126,134,136,145,234,25,35,56]                                                   2       (1,6,14,6)            27       9         N       N          N        43      20       138       (144)            N/A    N/A    N/A
[123,124,126,134,136,145,234,56]                                                     2       (1,6,12,7)            26       8         N       N          N        44      19       108       (135)            N/A    N/A    N/A
[123,124,126,134,136,145,234,25,56]                                                  2       (1,6,13,7)            27       9         N       N          N        43      20       129       (147)            N/A    N/A    N/A
[123,124,126,134,136,145,234,25,35,56]                                               2       (1,6,14,7)            28       10        N       N          N        42      21       155       (159)            N/A    N/A    N/A
[125,134,16,234,26,35,45,56]                                                         2       (1,6,13,3)            23       8         N       N          N        47      16       99        (89)             N/A    N/A    N/A
[123,125,134,16,234,26,35,45,56]                                                     2       (1,6,13,4)            24       9         N       N          N        46      17       107       (102)            N/A    N/A    N/A
[123,125,134,145,16,234,35,56]                                                       2       (1,6,12,5)            24       8         N       N          N        46      17       103       (103)            N/A    N/A    N/A
[125,134,145,16,234,26,35,56]                                                        2       (1,6,13,4)            24       8         N       N          N        46      17       108       (101)            N/A    N/A    N/A
[123,125,134,145,16,234,26,35,56]                                                    2       (1,6,13,5)            25       9         N       N          N        45      18       116       (115)            N/A    N/A    N/A
[124,125,134,145,16,234,26,35,56]                                                    2       (1,6,13,5)            25       9         N       N          N        45      18       114       (116)            N/A    N/A    N/A
[123,124,125,134,16,234,26,35,45,56]                                                 2       (1,6,13,5)            25       10        N       N          N        45      18       117       (115,1)          N/A    N/A    N/A
[123,124,125,134,145,16,234,35,56]                                                   2       (1,6,12,6)            25       9         N       N          N        45      18       109       (117,2)          N/A    N/A    N/A
[123,124,125,134,145,16,234,26,35,56]                                                2       (1,6,13,6)            26       10        N       N          N        44      19       124       (130)            N/A    N/A    N/A
[123,125,145,16,234,26,35,36,56]                                                     2       (1,6,14,4)            25       9         N       N          N        45      18       124       (112,2)          N/A    N/A    N/A
[123,124,125,145,16,234,26,35,36,56]                                                 2       (1,6,14,5)            26       10        N       N          N        44      19       131       (128)            N/A    N/A    N/A
[123,125,134,145,16,234,35,36,56]                                                    2       (1,6,13,5)            25       9         N       N          N        45      18       115       (116)            N/A    N/A    N/A
[125,134,16,234,26,35,36,45,56]                                                      2       (1,6,14,3)            24       9         N       N          N        46      17       113       (100)            N/A    N/A    N/A
[125,134,145,16,234,26,35,36,56]                                                     2       (1,6,14,4)            25       9         N       N          N        45      18       122       (113)            N/A    N/A    N/A
[123,125,134,16,234,26,35,36,45,56]                                                  2       (1,6,14,4)            25       10        N       N          N        45      18       121       (114)            N/A    N/A    N/A
[123,125,134,145,16,234,26,35,36,56]                                                 2       (1,6,14,5)            26       10        N       N          N        44      19       130       (128)            N/A    N/A    N/A
[124,125,134,16,234,26,35,36,45,56]                                                  2       (1,6,14,4)            25       10        N       N          N        45      18       121       (114)            N/A    N/A    N/A
[123,124,125,134,16,234,26,35,36,45,56]                                              2       (1,6,14,5)            26       11        N       N          N        44      19       131       (128)            N/A    N/A    N/A
[123,124,125,134,145,16,234,35,36,56]                                                2       (1,6,13,6)            26       10        N       N          N        44      19       121       (131)            N/A    N/A    N/A
[124,125,134,145,16,234,26,35,36,56]                                                 2       (1,6,14,5)            26       10        N       N          N        44      19       128       (129)            N/A    N/A    N/A
[123,124,125,134,145,16,234,26,35,36,56]                                             2       (1,6,14,6)            27       11        N       N          N        43      20       138       (144)            N/A    N/A    N/A
[125,136,145,234,35,56]                                                              2       (1,6,13,4)            24       6         N       N          N        46      17       120       (98)             N/A    N/A    N/A
[124,125,136,145,234,35,56]                                                          2       (1,6,13,5)            25       7         N       N          N        45      18       128       (112)            N/A    N/A    N/A
[123,125,136,145,234,35,56]                                                          2       (1,6,13,5)            25       7         N       N          N        45      18       125       (113)            N/A    N/A    N/A
[123,124,125,136,145,234,35,56]                                                      2       (1,6,13,6)            26       8         N       N          N        44      19       133       (128)            N/A    N/A    N/A
[123,125,134,136,145,234,35,56]                                                      2       (1,6,13,6)            26       8         N       N          N        44      19       129       (130)            N/A    N/A    N/A
[123,124,125,134,136,145,234,35,56]                                                  2       (1,6,13,7)            27       9         N       N          N        43      20       138       (145)            N/A    N/A    N/A
[125,136,14,234,26,35,45,56]                                                         2       (1,6,14,3)            24       8         N       N          N        46      17       119       (98)             N/A    N/A    N/A
